Date,Interval,Calls,day_of_week,#_day_of_week,#_intervals,#_int_in_hour,Calls\hours,Month,Year,dataNorm,dataNorm2,first_diff,first_diff2
2016-11-10,4544,5198,Thursday,3,94,23.5,221,11,2016,0.9420079739035883,0.5434254353163529,0.04186299383834724,0.1773318323033205
2016-11-11,4547,5838,Friday,4,95,23.75,245,11,2016,1.0579920260964117,0.9941069697938362,0.11598405219282348,0.45068153447748327
2016-11-12,4560,3390,Saturday,5,96,24.0,141,11,2016,0.6143530264588619,-0.8935743663288414,-0.4436389996375498,-1.8876813361226774
2016-11-13,4560,2008,Sunday,6,96,24.0,83,11,2016,0.3638999637549837,-1.8788823284641896,-0.25045306270387824,-0.9853079621353482
2016-11-14,4458,5203,Monday,0,93,23.25,223,11,2016,0.9429140993113447,0.5111913220394814,0.579014135556361,2.390073650503671
2016-11-15,4521,4899,Tuesday,1,91,22.75,215,11,2016,0.8878216745197536,0.2999929543469922,-0.055092424791591155,-0.21119836769248918
2016-11-16,4558,5226,Wednesday,2,95,23.75,220,11,2016,0.9470822761870242,0.5110988065109171,0.05926060166727065,0.2111058521639249
2016-11-17,4544,5058,Thursday,3,95,23.75,212,11,2016,0.9166364624864081,0.40437858098545726,-0.030445813700616164,-0.10672022552545984
2016-11-18,4560,5767,Friday,4,96,24.0,240,11,2016,1.0451250453062704,0.950494023090062,0.1284885828198623,0.5461154421046048
2016-11-19,4560,3796,Saturday,5,96,24.0,158,11,2016,0.6879304095686843,-0.6027673384901282,-0.35719463573758603,-1.5532613615801902
2016-11-20,4375,2271,Sunday,6,94,23.5,96,11,2016,0.4115621602029721,-1.9606357261429026,-0.27636824936571225,-1.3578683876527744
2016-11-21,4448,5119,Monday,0,93,23.25,220,11,2016,0.9276911924610366,0.4465652338919043,0.5161290322580645,2.4072009600348068
2016-11-22,4542,4881,Tuesday,1,94,23.5,207,11,2016,0.8845596230518303,0.24766089618747725,-0.04313156940920626,-0.19890433770442703
2016-11-23,4542,4938,Wednesday,2,93,23.25,212,11,2016,0.8948894527002537,0.336701539716505,0.010329829648423328,0.08904064352902777
2016-11-24,4543,4877,Thursday,3,94,23.5,207,11,2016,0.8838347227256252,0.3094441339535355,-0.011054729974628419,-0.027257405762969533
