Date,Interval,Calls,#_day_of_week,day_of_week,Month,Year
2017-10-19 23:00:00,186,0,3,Thursday,10,2017
2017-10-20 00:00:00,2,0,4,Friday,10,2017
2017-10-20 01:00:00,10,0,4,Friday,10,2017
2017-10-20 02:00:00,18,0,4,Friday,10,2017
2017-10-20 03:00:00,26,0,4,Friday,10,2017
2017-10-20 04:00:00,34,0,4,Friday,10,2017
2017-10-20 05:00:00,42,0,4,Friday,10,2017
2017-10-20 06:00:00,50,28,4,Friday,10,2017
2017-10-20 07:00:00,58,33,4,Friday,10,2017
2017-10-20 08:00:00,66,35,4,Friday,10,2017
2017-10-20 09:00:00,74,36,4,Friday,10,2017
2017-10-20 10:00:00,82,28,4,Friday,10,2017
2017-10-20 11:00:00,90,32,4,Friday,10,2017
2017-10-20 12:00:00,98,36,4,Friday,10,2017
2017-10-20 13:00:00,106,38,4,Friday,10,2017
2017-10-20 14:00:00,114,22,4,Friday,10,2017
2017-10-20 15:00:00,122,0,4,Friday,10,2017
2017-10-20 16:00:00,130,0,4,Friday,10,2017
2017-10-20 17:00:00,138,0,4,Friday,10,2017
2017-10-20 18:00:00,146,0,4,Friday,10,2017
2017-10-20 19:00:00,154,0,4,Friday,10,2017
